Signature type,Signature ID,Signature label,Gene symbol,Role / marker category,Source category,Scoring use,Notes
Postbiotic-related host axis,SCFA_axis,SCFA,HDAC2,SCFA-sensitive epigenetic regulation node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,SCFA_axis,SCFA,HDAC3,SCFA-sensitive epigenetic regulation node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,SCFA_axis,SCFA,SLC16A1,Monocarboxylate / SCFA transport node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,SCFA_axis,SCFA,SLC16A3,Monocarboxylate / SCFA transport node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,SCFA_axis,SCFA,SLC5A8,Monocarboxylate / SCFA transport node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Trp_axis,Tryptophan / AhR,AHR,Aryl hydrocarbon receptor signalling node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Trp_axis,Tryptophan / AhR,CYP1A1,AhR-responsive xenobiotic / metabolic target,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Trp_axis,Tryptophan / AhR,CYP1B1,AhR-responsive xenobiotic / metabolic target,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Trp_axis,Tryptophan / AhR,IDO1,Tryptophan catabolism enzyme,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Trp_axis,Tryptophan / AhR,IL10,Immune-regulatory / mucosal immunity node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Trp_axis,Tryptophan / AhR,IL22,Immune-regulatory / mucosal immunity node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Trp_axis,Tryptophan / AhR,KMO,Kynurenine-pathway enzyme,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Trp_axis,Tryptophan / AhR,KYNU,Kynurenine-pathway enzyme,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Trp_axis,Tryptophan / AhR,RORC,Immune-regulatory / mucosal immunity node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Trp_axis,Tryptophan / AhR,TDO2,Tryptophan catabolism enzyme,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Polyamine_axis,Polyamine,AMD1,Polyamine biosynthesis enzyme,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Polyamine_axis,Polyamine,MTAP,Methionine salvage / polyamine-linked metabolic node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Polyamine_axis,Polyamine,ODC1,Polyamine biosynthesis rate-limiting enzyme,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Polyamine_axis,Polyamine,PAOX,Polyamine catabolism / oxidation enzyme,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Polyamine_axis,Polyamine,SAT1,Polyamine catabolism / oxidation enzyme,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Polyamine_axis,Polyamine,SMOX,Polyamine catabolism / oxidation enzyme,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Polyamine_axis,Polyamine,SMS,Polyamine biosynthesis enzyme,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Polyamine_axis,Polyamine,SRM,Polyamine biosynthesis enzyme,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Ferroptosis_axis,Ferroptosis / redox,ACSL4,Lipid remodelling / lipid-peroxidation node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Ferroptosis_axis,Ferroptosis / redox,ALOX12,Lipid remodelling / lipid-peroxidation node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Ferroptosis_axis,Ferroptosis / redox,ALOX5,Lipid remodelling / lipid-peroxidation node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Ferroptosis_axis,Ferroptosis / redox,FTH1,Iron handling / ferritinophagy node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Ferroptosis_axis,Ferroptosis / redox,FTL,Iron handling / ferritinophagy node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Ferroptosis_axis,Ferroptosis / redox,GPX4,Ferroptosis-suppressive antioxidant defence node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Ferroptosis_axis,Ferroptosis / redox,HMOX1,Heme catabolism / iron-redox stress node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Ferroptosis_axis,Ferroptosis / redox,KEAP1,NRF2-KEAP1 redox-stress regulation node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Ferroptosis_axis,Ferroptosis / redox,LPCAT3,Lipid remodelling / lipid-peroxidation node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Ferroptosis_axis,Ferroptosis / redox,NCOA4,Iron handling / ferritinophagy node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Ferroptosis_axis,Ferroptosis / redox,NFE2L2,NRF2-KEAP1 redox-stress regulation node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Ferroptosis_axis,Ferroptosis / redox,SLC40A1,Iron handling / ferritinophagy node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Ferroptosis_axis,Ferroptosis / redox,SLC7A11,Ferroptosis-suppressive antioxidant defence node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,Ferroptosis_axis,Ferroptosis / redox,TFRC,Iron handling / ferritinophagy node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Marker-based TME signature,CD8_T_cells,CD8 T cells,CD8A,Marker included in the CD8 T cells signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,CD8_T_cells,CD8 T cells,CD8B,Marker included in the CD8 T cells signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,CD8_T_cells,CD8 T cells,GZMB,Marker included in the CD8 T cells signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,CD8_T_cells,CD8 T cells,IFNG,Marker included in the CD8 T cells signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,CD8_T_cells,CD8 T cells,PRF1,Marker included in the CD8 T cells signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,Tregs,Regulatory T cells,CTLA4,Marker included in the Regulatory T cells signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,Tregs,Regulatory T cells,FOXP3,Marker included in the Regulatory T cells signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,Tregs,Regulatory T cells,IKZF2,Marker included in the Regulatory T cells signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,Tregs,Regulatory T cells,IL2RA,Marker included in the Regulatory T cells signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,Tregs,Regulatory T cells,TNFRSF18,Marker included in the Regulatory T cells signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,Th1_like,Th1-like,CXCR3,Marker included in the Th1-like signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,Th1_like,Th1-like,IFNG,Marker included in the Th1-like signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,Th1_like,Th1-like,STAT1,Marker included in the Th1-like signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,Th1_like,Th1-like,TBX21,Marker included in the Th1-like signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,Th17_like,Th17-like,CCR6,Marker included in the Th17-like signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,Th17_like,Th17-like,IL17A,Marker included in the Th17-like signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,Th17_like,Th17-like,IL17F,Marker included in the Th17-like signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,Th17_like,Th17-like,RORC,Marker included in the Th17-like signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,NK_cells,NK cells,GNLY,Marker included in the NK cells signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,NK_cells,NK cells,KLRD1,Marker included in the NK cells signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,NK_cells,NK cells,KLRK1,Marker included in the NK cells signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,NK_cells,NK cells,NKG7,Marker included in the NK cells signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,NK_cells,NK cells,PRF1,Marker included in the NK cells signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,M1_macrophages,M1 macrophages,CD80,Marker included in the M1 macrophages signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,M1_macrophages,M1 macrophages,CD86,Marker included in the M1 macrophages signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,M1_macrophages,M1 macrophages,IL12B,Marker included in the M1 macrophages signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,M1_macrophages,M1 macrophages,IRF5,Marker included in the M1 macrophages signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,M1_macrophages,M1 macrophages,STAT1,Marker included in the M1 macrophages signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,M2_macrophages,M2 macrophages,CD163,Marker included in the M2 macrophages signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,M2_macrophages,M2 macrophages,IL10,Marker included in the M2 macrophages signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,M2_macrophages,M2 macrophages,MRC1,Marker included in the M2 macrophages signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,M2_macrophages,M2 macrophages,MSR1,Marker included in the M2 macrophages signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,M2_macrophages,M2 macrophages,TGFB1,Marker included in the M2 macrophages signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,Cytolytic_activity,Cytolytic activity,GNLY,Marker included in the Cytolytic activity signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,Cytolytic_activity,Cytolytic activity,GZMA,Marker included in the Cytolytic activity signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,Cytolytic_activity,Cytolytic activity,GZMB,Marker included in the Cytolytic activity signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,Cytolytic_activity,Cytolytic activity,NKG7,Marker included in the Cytolytic activity signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,Cytolytic_activity,Cytolytic activity,PRF1,Marker included in the Cytolytic activity signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
Marker-based TME signature,Stromal_like,Stromal-like,ACTA2,Marker included in the Stromal-like signature,Marker-based TME signature defined in 06_TCGA_TME_signatures.R; used for TCGA immune/stromal correlation analysis,Used to compute marker-based TME signature scores,"Expression z-standardized across samples; signature score calculated as mean z-score across available genes. These signatures are marker summaries, not formal cell-deconvolution estimates."
